"LBDHDDSI.Code.or.Value","LBDHDDSI.Value.Description","LBDHDDSI.Count","LBDHDDSI.Cumulative","LBDHDDSI.Skip.to.Item"
"0.28 to 4.63","Range of Values",7846,7846,NA
".","Missing",745,8591,NA
