"CSQ210.Code.or.Value","CSQ210.Value.Description","CSQ210.Count","CSQ210.Cumulative","CSQ210.Skip.to.Item"
"1","Yes",2341,2341,NA
"2","No",1217,3558,NA
"7","Refused",2,3560,NA
"9","Don't know",43,3603,NA
".","Missing",0,3603,NA
