"LBXPLTSI.Code.or.Value","LBXPLTSI.Value.Description","LBXPLTSI.Count","LBXPLTSI.Cumulative","LBXPLTSI.Skip.to.Item"
"18 to 723","Range of Values",8544,8544,NA
".","Missing",878,9422,NA
