"OPDUNVO.Code.or.Value","OPDUNVO.Value.Description","OPDUNVO.Count","OPDUNVO.Cumulative","OPDUNVO.Skip.to.Item"
"0","None",3285,3285,NA
"1","Questionable",6,3291,NA
"2","< 10A",4,3295,NA
"3",">= 10A",0,3295,NA
".","Missing",568,3863,NA
