"MPQ120p.Code.or.Value","MPQ120p.Value.Description","MPQ120p.Count","MPQ120p.Cumulative","MPQ120p.Skip.to.Item"
"25","Buttocks - left",122,122,NA
".","Missing",4758,4880,NA
