"DXXHEBMC.Code.or.Value","DXXHEBMC.Value.Description","DXXHEBMC.Count","DXXHEBMC.Cumulative","DXXHEBMC.Skip.to.Item"
"180.53 to 909.31","Range of Values",4725,4725,NA
".","Missing",967,5692,NA
