"LBXCRY.Code.or.Value","LBXCRY.Value.Description","LBXCRY.Count","LBXCRY.Cumulative","LBXCRY.Skip.to.Item"
"0.6 to 483","Range of Values",6488,6488,NA
".","Missing",947,7435,NA
