"TYXA137.Code.or.Value","TYXA137.Value.Description","TYXA137.Count","TYXA137.Cumulative","TYXA137.Skip.to.Item"
"0.09 to 6.374","Range of Values",4315,4315,NA
".","Missing",1270,5585,NA
