"DRXTS040.Code.or.Value","DRXTS040.Value.Description","DRXTS040.Count","DRXTS040.Cumulative","DRXTS040.Skip.to.Item"
"0 to 9.39","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
