"LBXSF5SI.Code.or.Value","LBXSF5SI.Value.Description","LBXSF5SI.Count","LBXSF5SI.Cumulative","LBXSF5SI.Skip.to.Item"
"0.219 to 13.4","Range of Values",8453,8453,NA
".","Missing",969,9422,NA
