"FSD660ZW.Code.or.Value","FSD660ZW.Value.Description","FSD660ZW.Count","FSD660ZW.Cumulative","FSD660ZW.Skip.to.Item"
"1","Yes",38,38,NA
"2","No",196,234,NA
"7","Refused",2,236,NA
"9","Don't know",4,240,NA
".","Missing",9731,9971,NA
