"DS2IPOTA.Code.or.Value","DS2IPOTA.Value.Description","DS2IPOTA.Count","DS2IPOTA.Cumulative","DS2IPOTA.Skip.to.Item"
"0.1 to 3600","Range of Values",775,775,NA
".","Missing",4924,5699,NA
