"LBXNEPCT.Code.or.Value","LBXNEPCT.Value.Description","LBXNEPCT.Count","LBXNEPCT.Cumulative","LBXNEPCT.Skip.to.Item"
"2.4 to 92.3","Range of Values",8353,8353,NA
".","Missing",826,9179,NA
