"RFXT146.Code.or.Value","RFXT146.Value.Description","RFXT146.Count","RFXT146.Cumulative","RFXT146.Skip.to.Item"
"1273 to 1282","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
