"LBCHCBLA.Code.or.Value","LBCHCBLA.Value.Description","LBCHCBLA.Count","LBCHCBLA.Cumulative","LBCHCBLA.Skip.to.Item"
"5.058 to 27.83","Range of Values",284,284,NA
".","Missing",0,284,NA
