"FFQ0136A.Code.or.Value","FFQ0136A.Value.Description","FFQ0136A.Count","FFQ0136A.Cumulative","FFQ0136A.Skip.to.Item"
1,"Almost never or never",3074,3074,NA
2,"About 1/4 of the time",422,3496,NA
3,"About 1/2 of the time",440,3936,NA
4,"About 3/4 of the time",197,4133,NA
5,"Almost always or always",692,4825,NA
88,"Blank",1645,6470,NA
99,"Error",2,6472,NA
