"FSD111.Code.or.Value","FSD111.Value.Description","FSD111.Count","FSD111.Cumulative","FSD111.Skip.to.Item"
"1","Yes",186,186,NA
"2","No",957,1143,NA
"7","Refused",0,1143,NA
"9","Don't know",0,1143,NA
".","Missing",9205,10348,NA
