"WBXP011.Code.or.Value","WBXP011.Value.Description","WBXP011.Count","WBXP011.Cumulative","WBXP011.Skip.to.Item"
"-179.5901 to 148.0981","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
