"WHQ150.Code.or.Value","WHQ150.Value.Description","WHQ150.Count","WHQ150.Cumulative","WHQ150.Skip.to.Item"
"10 to 85","Range of Values",5431,5431,NA
"77777","Refused",0,5431,NA
"99999","Don't know",26,5457,NA
".","Missing",682,6139,NA
