"LB2LUZSI.Code.or.Value","LB2LUZSI.Value.Description","LB2LUZSI.Count","LB2LUZSI.Cumulative","LB2LUZSI.Skip.to.Item"
"0.035 to 1.181","Range of Values",545,545,NA
".","Missing",6,551,NA
