"DR2TFA.Code.or.Value","DR2TFA.Value.Description","DR2TFA.Count","DR2TFA.Cumulative","DR2TFA.Skip.to.Item"
"0 to 2907","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
