"LBDPFDEL.Code.or.Value","LBDPFDEL.Value.Description","LBDPFDEL.Count","LBDPFDEL.Cumulative","LBDPFDEL.Skip.to.Item"
"0","At or above the detection limit",1713,1713,NA
"1","Below lower detection limit",455,2168,NA
".","Missing",171,2339,NA
