"AUXLR144.Code.or.Value","AUXLR144.Value.Description","AUXLR144.Count","AUXLR144.Cumulative","AUXLR144.Skip.to.Item"
"-43 to 49","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
