"LBDPCBLC.Code.or.Value","LBDPCBLC.Value.Description","LBDPCBLC.Count","LBDPCBLC.Cumulative","LBDPCBLC.Skip.to.Item"
"0","detectable result",960,960,NA
"1","below detectable limit",936,1896,NA
".","Missing",378,2274,NA
