"CSQ480.Code.or.Value","CSQ480.Value.Description","CSQ480.Count","CSQ480.Cumulative","CSQ480.Skip.to.Item"
"0 to 100","Range of Values",3411,3411,NA
".","Missing",297,3708,NA
