"LBDSPHSI.Code.or.Value","LBDSPHSI.Value.Description","LBDSPHSI.Count","LBDSPHSI.Cumulative","LBDSPHSI.Skip.to.Item"
"0.614 to 2.615","Range of Values",6432,6432,NA
".","Missing",548,6980,NA
