"OPDSNVO.Code.or.Value","OPDSNVO.Value.Description","OPDSNVO.Count","OPDSNVO.Cumulative","OPDSNVO.Skip.to.Item"
"0","None",2431,2431,NA
"1","Questionable",1,2432,NA
"2","< 10A",3,2435,NA
"3",">= 10A",0,2435,NA
".","Missing",499,2934,NA
