"OSQ090h.Code.or.Value","OSQ090h.Value.Description","OSQ090h.Count","OSQ090h.Cumulative","OSQ090h.Skip.to.Item"
"1","Yes",8,8,"OSQ120h"
"2","No",1,9,""
"7","Refused",0,9,"OSQ120h"
"9","Don't know",0,9,"OSQ120h"
".","Missing",4970,4979,""
