"HSQ520.Code.or.Value","HSQ520.Value.Description","HSQ520.Count","HSQ520.Cumulative","HSQ520.Skip.to.Item"
"1","Yes",501,501,NA
"2","No",8205,8706,NA
"7","Refused",2,8708,NA
"9","Don't know",25,8733,NA
".","Missing",707,9440,NA
