"AUDTYR39.Code.or.Value","AUDTYR39.Value.Description","AUDTYR39.Count","AUDTYR39.Cumulative","AUDTYR39.Skip.to.Item"
"0 to 2.56","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
