"DXXPT39Y.Code.or.Value","DXXPT39Y.Value.Description","DXXPT39Y.Count","DXXPT39Y.Cumulative","DXXPT39Y.Skip.to.Item"
"173.1 to 412.2","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
