"URDBP3LC.Code.or.Value","URDBP3LC.Value.Description","URDBP3LC.Count","URDBP3LC.Cumulative","URDBP3LC.Skip.to.Item"
"0","At or above the detection limit",2693,2693,NA
"1","Below lower detection limit",56,2749,NA
".","Missing",70,2819,NA
