"BPQ150C.Code.or.Value","BPQ150C.Value.Description","BPQ150C.Count","BPQ150C.Cumulative","BPQ150C.Skip.to.Item"
"1","Yes",58,58,NA
"2","No",7773,7831,NA
".","Missing",2422,10253,NA
