"WBXF103.Code.or.Value","WBXF103.Value.Description","WBXF103.Count","WBXF103.Cumulative","WBXF103.Skip.to.Item"
"7127.1897 to 7127.1897","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
