"LBXF06.Code.or.Value","LBXF06.Value.Description","LBXF06.Count","LBXF06.Cumulative","LBXF06.Skip.to.Item"
"5.16 to 38.96","Range of Values",1223,1223,NA
".","Missing",1324,2547,NA
