"SXD450.Code.or.Value","SXD450.Value.Description","SXD450.Count","SXD450.Cumulative","SXD450.Skip.to.Item"
"0 to 30","Range of Values",1895,1895,NA
"77777","Refused",7,1902,NA
"99999","Don't know",0,1902,NA
".","Missing",3155,5057,NA
