"DXXNKBMC.Code.or.Value","DXXNKBMC.Value.Description","DXXNKBMC.Count","DXXNKBMC.Cumulative","DXXNKBMC.Skip.to.Item"
"0.89 to 9.17","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
