"DSDDAY1.Code.or.Value","DSDDAY1.Value.Description","DSDDAY1.Count","DSDDAY1.Cumulative","DSDDAY1.Skip.to.Item"
"1","Yes",4591,4591,NA
"2","No",2816,7407,NA
"7","Refused",0,7407,NA
"9","Don't know",48,7455,NA
".","Missing",830,8285,NA
