"WTSCI2YR.Code.or.Value","WTSCI2YR.Value.Description","WTSCI2YR.Count","WTSCI2YR.Cumulative","WTSCI2YR.Skip.to.Item"
"3141.6834177 to 398125.62182","Range of Values",827,827,NA
".","Missing",101,928,NA
