"DR1IP226.Code.or.Value","DR1IP226.Value.Description","DR1IP226.Count","DR1IP226.Cumulative","DR1IP226.Skip.to.Item"
"0 to 3.263","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
