"KID028.Code.or.Value","KID028.Value.Description","KID028.Count","KID028.Cumulative","KID028.Skip.to.Item"
"0 to 80","Range of Values",533,533,NA
"777","Refused",0,533,NA
"999","Don't know",9,542,NA
".","Missing",5676,6218,NA
