"TYXA160.Code.or.Value","TYXA160.Value.Description","TYXA160.Count","TYXA160.Cumulative","TYXA160.Skip.to.Item"
"0.09 to 6.662","Range of Values",5036,5036,NA
".","Missing",3433,8469,NA
