"RFXT143.Code.or.Value","RFXT143.Value.Description","RFXT143.Count","RFXT143.Cumulative","RFXT143.Skip.to.Item"
"1247 to 1256","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
