"DRD370LQ.Code.or.Value","DRD370LQ.Value.Description","DRD370LQ.Count","DRD370LQ.Cumulative","DRD370LQ.Skip.to.Item"
"1 to 15","Range of Values",58,58,NA
".","Missing",9280,9338,NA
