"DR1TP225.Code.or.Value","DR1TP225.Value.Description","DR1TP225.Count","DR1TP225.Cumulative","DR1TP225.Skip.to.Item"
"0 to 2.176","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
