"DR2TRET.Code.or.Value","DR2TRET.Value.Description","DR2TRET.Count","DR2TRET.Cumulative","DR2TRET.Skip.to.Item"
"0 to 8135","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
