"DSQTSODI.Code.or.Value","DSQTSODI.Value.Description","DSQTSODI.Count","DSQTSODI.Cumulative","DSQTSODI.Skip.to.Item"
"0.1 to 460","Range of Values",721,721,NA
".","Missing",9035,9756,NA
