"TYXA108.Code.or.Value","TYXA108.Value.Description","TYXA108.Count","TYXA108.Cumulative","TYXA108.Skip.to.Item"
"0.09 to 8.89","Range of Values",8452,8452,NA
".","Missing",17,8469,NA
