"PFQ051.Code.or.Value","PFQ051.Value.Description","PFQ051.Count","PFQ051.Cumulative","PFQ051.Skip.to.Item"
"1","Yes",1313,1313,NA
"2","No",4399,5712,NA
"7","Refused",2,5714,NA
"9","Don't know",5,5719,NA
".","Missing",3272,8991,NA
