"DIQ275.Code.or.Value","DIQ275.Value.Description","DIQ275.Count","DIQ275.Cumulative","DIQ275.Skip.to.Item"
"1","Yes",434,434,""
"2","No",168,602,"DIQ295"
"7","Refused",0,602,"DIQ295"
"9","Don't know",106,708,"DIQ295"
".","Missing",8656,9364,""
