"WBXP012.Code.or.Value","WBXP012.Value.Description","WBXP012.Count","WBXP012.Cumulative","WBXP012.Skip.to.Item"
"-32.7893 to 173.239","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
