"LBXGH.Code.or.Value","LBXGH.Value.Description","LBXGH.Count","LBXGH.Cumulative","LBXGH.Skip.to.Item"
"3.5 to 17.5","Range of Values",6643,6643,NA
".","Missing",336,6979,NA
