"OCQ290G.Code.or.Value","OCQ290G.Value.Description","OCQ290G.Count","OCQ290G.Cumulative","OCQ290G.Skip.to.Item"
"1","Enter number",660,660,NA
"2","Never",2411,3071,NA
"7","Refused",4,3075,NA
"9","Don't know",0,3075,NA
".","Missing",3138,6213,NA
