"DR1TVD.Code.or.Value","DR1TVD.Value.Description","DR1TVD.Count","DR1TVD.Cumulative","DR1TVD.Skip.to.Item"
"0 to 110.4","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
