"MCQ300c.Code.or.Value","MCQ300c.Value.Description","MCQ300c.Count","MCQ300c.Cumulative","MCQ300c.Skip.to.Item"
"1","Yes",2191,2191,NA
"2","No",3265,5456,NA
"7","Refused",1,5457,NA
"9","Don't know",102,5559,NA
".","Missing",3805,9364,NA
