"LBXCRP.Code.or.Value","LBXCRP.Value.Description","LBXCRP.Count","LBXCRP.Cumulative","LBXCRP.Skip.to.Item"
"0.01 to 29.6","Range of Values",7493,7493,NA
".","Missing",851,8344,NA
