"OHXRRES.Code.or.Value","OHXRRES.Value.Description","OHXRRES.Count","OHXRRES.Cumulative","OHXRRES.Skip.to.Item"
"1","Root restoration(s) detected",287,287,NA
"2","No root restoration(s) detected",3519,3806,NA
"9","Cannot be assessed",0,3806,NA
".","Missing",5041,8847,NA
