"DXXOSBMC.Code.or.Value","DXXOSBMC.Value.Description","DXXOSBMC.Count","DXXOSBMC.Cumulative","DXXOSBMC.Skip.to.Item"
"12.27 to 149","Range of Values",5679,5679,NA
".","Missing",2506,8185,NA
