"LBXTT4.Code.or.Value","LBXTT4.Value.Description","LBXTT4.Count","LBXTT4.Cumulative","LBXTT4.Skip.to.Item"
"0.4 to 16.8","Range of Values",2327,2327,NA
".","Missing",217,2544,NA
