"WBXF042.Code.or.Value","WBXF042.Value.Description","WBXF042.Count","WBXF042.Cumulative","WBXF042.Skip.to.Item"
"1224.0535 to 1224.0535","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
