"URXUTL.Code.or.Value","URXUTL.Value.Description","URXUTL.Count","URXUTL.Cumulative","URXUTL.Skip.to.Item"
"0.011 to 1.68","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
