"DID260.Code.or.Value","DID260.Value.Description","DID260.Count","DID260.Cumulative","DID260.Skip.to.Item"
"1 to 50","Range of Values",713,713,NA
"0","Never",178,891,NA
"777","Refused",0,891,NA
"999","Don't know",2,893,NA
".","Missing",8004,8897,NA
