"BIXC100K.Code.or.Value","BIXC100K.Value.Description","BIXC100K.Count","BIXC100K.Cumulative","BIXC100K.Skip.to.Item"
"33.18 to 138.07","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
