"URXOP6.Code.or.Value","URXOP6.Value.Description","URXOP6.Count","URXOP6.Cumulative","URXOP6.Skip.to.Item"
"0.07 to 16.39","Range of Values",3013,3013,NA
".","Missing",139,3152,NA
